# BCCA_0-125deg_pr_day_ACCESS1-0_rcp45_r1i1p1
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
2006-01-10T12:00:00Z,3.1000001,3.1000001,2.938952,3.0896788,2.4454525,2.1703622,2.3822644,1.7350605,1.8000001,2.0598714,1.8307335,2.1102135,1.7,1.7688844,1.8000001,2.0,1.9533901,2.8,1.9485282,2.0156124,2.4,2.5351052,2.1601386,2.0202324,2.4,2.4,2.3,2.8,2.4,2.4,2.4,2.4,2.6736984,2.3,2.4,2.4,2.4,2.4,2.4,2.7779953,2.327365,2.7872267,2.3981736,2.3,2.7,2.692642,2.9180734,2.5520349,2.8422084,2.6119874,3.1776583,2.9477272,3.4,3.3,2.7210925,2.7714295,3.3128238,2.7,3.1525486,3.151217,3.4318745,3.4356458,3.2659855,4.3262873,4.495714,4.2011585,4.5,4.2000003,4.267128,4.4741793,4.5
2006-01-11T12:00:00Z,0.1,0.1,0.059737943,0.102381885,0.24367264,0.3145318,0.2481925,0.6883132,0.4,0.54275984,0.43073344,0.395307,0.7,0.67703855,0.4,0.6,0.55314296,1.3000001,0.67898875,0.65491253,1.3000001,0.994833,0.93930256,0.7249946,1.3000001,1.3000001,0.90000004,1.3000001,1.3000001,1.3000001,1.3000001,0.6,1.0789725,0.90000004,1.3000001,1.3000001,1.3000001,1.3000001,1.3000001,1.3000001,1.0132171,1.3000001,1.2926944,0.90000004,1.4,1.3000001,1.3068523,1.1275475,0.9542209,1.3706625,0.98776585,1.3641158,1.3000001,1.0,1.3859384,1.3897958,1.3124539,1.4,1.3353503,1.1919808,0.94505227,0.95032376,1.123789,0.5723803,0.5017857,0.7,0.5,0.7,0.6552481,0.39671603,0.5
2006-01-12T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.059907027,0.035218168,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0055011394,0.029103367,0.0031933011,0.09817358,0.0,0.0,0.032840576,0.033401843,0.03620335,0.0,0.029337581,0.0,3.462314E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029715862,0.0,0.0,0.027858302,0.0,0.0,0.1,0.0,0.1,0.07762407,0.0,0.0
2006-01-13T12:00:00Z,0.2,0.2,0.2,0.2,0.20907119,0.2,0.23703039,0.3,0.2,0.2898319,0.21536672,0.2,0.3,0.3,0.2,0.3,0.27595338,0.4,0.30639637,0.3450875,0.3,0.3823811,0.25990704,0.23700313,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.39449885,0.29928783,0.39680672,0.3,0.3,0.4,0.36715943,0.36659816,0.32955936,0.35422087,0.37066242,0.38776585,0.39965376,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.45943174,0.4439582,0.45433918,0.47910008,0.74209577,0.79857147,0.6,0.8,0.6,0.6447519,0.8,0.8
2006-01-14T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-15T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.024918E-4,0.010989543,0.01358479,0.005845864,0.08552393,0.099642865,1.287054E-4,0.1,0.0,0.022375934,0.1,0.1
2006-01-16T12:00:00Z,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.011686797,0.1,0.09623153,0.1,0.1,0.0,0.02296147,0.1,0.1,0.09975276,0.0,0.0593894,0.045087483,0.0,0.038786188,0.040092975,0.0638896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.031575378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1219355E-4,0.0,0.0,0.0,0.1,0.0040007234,0.0499411,0.013293671,0.0,0.070662424,0.0,0.09965377,0.1,0.0,0.09648461,0.1,0.1,0.1,0.1,0.07028414,0.0,0.0045619234,0.059148304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-17T12:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-18T12:00:00Z,1.2,1.2,1.159738,1.1928544,0.7888346,0.5564046,0.8628277,0.7766264,0.3,0.6583775,0.34610015,0.46423838,0.8,0.7540771,0.3,0.6,0.5283546,1.1,0.7004103,0.8,0.5,0.942793,0.4200926,0.37757567,0.5,0.5,0.5,1.1,0.5,0.5,0.5,0.8,1.0052739,0.5,0.5,0.5,0.5,0.5,0.5,1.0669932,0.49930462,1.0808402,0.5,0.5,1.1,0.90295655,0.89958894,0.66109043,0.7711043,0.9239745,0.9388292,1.0979227,1.1,1.0,1.0964847,1.1,1.1,1.1,1.1,1.3395344,1.1318746,1.1675794,1.3800234,2.0262873,2.1957145,1.9003861,2.2,1.9,1.9671278,2.1225371,2.2
2006-01-19T12:00:00Z,9.8,9.8,9.638952,9.796824,9.504887,9.513958,9.2148485,7.663615,9.400001,8.898083,9.323167,9.3865185,7.5,7.8214607,9.400001,8.900001,9.016525,6.9,8.293074,7.3647375,8.3,7.2541633,8.740745,8.990293,8.3,8.3,7.8,6.9,8.3,8.3,8.3,7.2000003,6.994726,7.8,8.3,8.3,8.3,8.3,8.3,6.977016,7.956183,6.9447064,8.290868,7.8,7.4,7.387773,7.703509,7.8139825,7.420454,7.664038,7.185639,7.474192,7.6,7.1,7.389454,7.4204087,7.5750923,7.4,7.5292997,7.0671167,6.979115,6.964253,6.990274,6.159237,6.0039287,6.298713,6.0,6.3,6.2328725,6.077463,6.0
2006-01-20T12:00:00Z,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2116868,0.3,0.29623154,0.3,0.3,0.2,0.22296147,0.3,0.3,0.3,0.3,0.26578575,0.24508749,0.3,0.2943894,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3162657,0.35422087,0.3,0.38776585,0.3,0.3,0.4,0.3035154,0.3,0.3,0.3,0.3,0.3,0.4,0.39543808,0.3129934,0.4,0.4,0.3,0.4,0.3,0.32237595,0.503284,0.4
2006-01-21T12:00:00Z,0.0,0.0,0.0,7.939602E-4,0.04699244,0.071510606,0.04353293,0.1,0.1,0.08983189,0.1,0.08814329,0.1,0.1,0.1,0.1,0.10049448,0.3,0.112792715,0.1,0.3,0.21120638,0.21981406,0.1722208,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.1,0.23684925,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.22839119,0.3,0.2981736,0.2,0.4,0.2959993,0.26376346,0.27905637,0.25422087,0.37066242,0.28776586,0.32857785,0.2,0.3,0.3964846,0.37959158,0.22490753,0.4,0.27070045,0.34055215,0.28901047,0.29097715,0.32544413,0.21447606,0.20035714,0.2,0.2,0.2,0.2,0.14835802,0.2
2006-01-22T12:00:00Z,1.7,1.7,1.7402622,1.6984122,1.6214622,1.5569788,1.6694013,1.3233737,1.5,1.5229673,1.5,1.5228682,1.3000001,1.345923,1.5,1.5,1.4987638,1.0,1.3995898,1.0745627,1.4,1.0233175,1.4400929,1.4603207,1.4,1.4,1.4,1.0,1.4,1.4,1.4,0.8,0.93684924,1.4,1.4,1.4,1.4,1.4,1.4,1.0220046,1.4007121,1.0127732,1.4,1.4,1.2,1.135363,1.1904007,1.357147,1.3457792,1.2586752,1.3122342,1.1651546,1.1,1.3000001,1.2035154,1.1897959,1.1124538,1.2,1.1353502,1.0222993,1.2230732,1.2003446,1.0049226,0.7013325,0.60249996,0.6001287,0.6,0.6,0.6,0.651642,0.6
2006-01-23T12:00:00Z,0.2,0.2,0.24026206,0.19841208,0.121462174,0.056978796,0.16940121,0.0,0.0,0.030504333,0.0,0.023713423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029113369,0.010989543,0.01358479,0.033704165,0.08552393,0.099642865,0.09987129,0.1,0.1,0.1,0.07417901,0.1
