huc8,huc12,wght
02020005,020200060908,0.0
02020005,020200060403,0.0
02020005,020200060402,0.0
02020005,020200060805,0.0
02020005,020200060203,0.0
02020005,020200050104,0.03375333850407559
02020005,020200060902,0.0
02020005,020200050202,0.033047597688093414
02020005,020200050204,0.03721928668403301
02020005,020200050105,0.033655038731080875
02020005,020200050205,0.030437861069522704
02020005,020401020303,0.0
02020005,020200050302,0.02718869123533801
02020005,020401020301,0.0
02020005,020200060702,0.0
02020005,020200060907,0.0
02020005,020200060701,0.0
02020005,020200060806,0.0
02020005,020200050101,0.02908174625462441
02020005,020200060904,0.0
02020005,020200050103,0.03921079834374663
02020005,020200050201,0.04571285359282892
02020005,020200060903,0.0
02020005,020200050102,0.030097811168593565
02020005,020200060804,0.0
02020005,020200050501,0.01857903169486189
02020005,020200060803,0.0
02020005,020200060204,0.0
02020005,020200050502,0.031459699700891436
02020005,020200050503,0.02267090256568597
02020005,020200060802,0.0
02020005,020200050504,0.020542670534876538
02020005,020200060801,0.0
02020005,020200050505,0.022083202174778337
02020005,020200060201,0.0
02020005,020200041102,0.0
02020005,020200050704,0.026830187411389796
02020005,020200050705,0.02487932705716633
02020005,020200041101,0.0
02020005,020200041006,0.0
02020005,020200041003,0.0
02020005,020200050404,0.026233349993219836
02020005,020200050703,0.029822433346143283
02020005,020200050401,0.017520641296842124
02020005,020200050405,0.03584037821221163
02020005,020200050403,0.036947928801085356
02020005,020200050702,0.024171031825322875
02020005,020200050305,0.02426230077906314
02020005,020200050402,0.02946998118674486
02020005,020200050701,0.023448672577426728
02020005,020200050605,0.05126545547625626
02020005,020200050304,0.0328535245650772
02020005,020200041001,0.0
02020005,020200050604,0.02650391230091295
02020005,020200050303,0.016078956436815697
02020005,020200050602,0.03293466669894702
02020005,020200050603,0.014462710337372418
02020005,020200040907,0.0
02020005,020200050601,0.024738532967226973
02020005,020200040906,0.0
02020005,020200050203,0.027757019778833526
02020005,020200050301,0.01923845900891412
02020005,020401020302,0.0
02020005,020401010101,0.0
02020006,011000050305,0.0
02020006,011000050101,0.0
02020006,011000050201,0.0
02020006,011000050202,0.0
02020006,020200060603,0.012599725924899286
02020006,020200060606,0.017622610887798536
02020006,020200060604,0.020725691297702627
02020006,020200030604,0.0
02020006,020200060601,0.016631492278655718
02020006,020200030801,0.0
02020006,020200030802,0.0
